"Date";"Heure";"TD";"Réf.Doc.";"Code";"Désignation";"Qté";"Ts %";"Prix";"Mont.Soumis";"Mont.TVA";"Mont.Total"
"2018-03-16";"17:51:14";"TV";"A1/32";"05016";"Grande Pizza";"1,000";"10,00";"6,36";"6,36";"0,64";"7,00"
"2018-03-16";"17:52:03";"TV";"A1/33";"01009";"Petit Gascon";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"17:52:32";"TV";"A1/34";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"17:55:08";"TV";"A1/35";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:55:08";"TV";"A1/35";"01007";"Baguette Fantaisie";"1,000";"5,50";"1,00";"1,00";"0,05";"1,05"
"2018-03-16";"17:55:08";"TV";"A1/35";"03052";"Chantilly";"1,000";"5,50";"2,09";"2,09";"0,11";"2,20"
"2018-03-16";"17:55:08";"TV";"A1/35";"01029";"Mini";"2,000";"5,50";"0,42";"0,85";"0,05";"0,90"
"2018-03-16";"17:55:58";"TV";"A1/36";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"17:56:41";"TV";"A1/37";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"18:00:06";"TV";"A1/38";"11031";"#Divers Entremet/ Tarte";"1,000";"5,50";"6,64";"6,64";"0,36";"7,00"
"2018-03-16";"18:04:20";"TV";"A1/39";"03051";"Peche";"1,000";"5,50";"2,09";"2,09";"0,11";"2,20"
"2018-03-16";"18:04:20";"TV";"A1/39";"03041";"Reli Millefeuille Puit DŽamour";"1,000";"5,50";"1,99";"1,99";"0,11";"2,10"
"2018-03-16";"18:04:20";"TV";"A1/39";"03055";"Kouign Amann IND";"1,000";"5,50";"1,75";"1,75";"0,10";"1,85"
"2018-03-16";"18:05:25";"TV";"A1/40";"01019";"Baguette FM";"3,000";"5,50";"0,85";"2,56";"0,14";"2,70"
"2018-03-16";"18:05:57";"TV";"A1/41";"01006";"Festive";"2,000";"5,50";"1,04";"2,09";"0,11";"2,20"
"2018-03-16";"18:07:43";"TV";"A1/42";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:09:37";"TV";"A1/43";"01031";"Crêpe";"100,000";"5,50";"0,76";"75,83";"4,17";"80,00"
"2018-03-16";"18:09:37";"TV";"A1/43";"06022";"Cidre Doux/Brut";"8,000";"20,00";"3,25";"26,00";"5,20";"31,20"
"2018-03-16";"18:11:14";"TV";"A1/44";"01007";"Baguette Fantaisie";"1,000";"5,50";"1,00";"1,00";"0,05";"1,05"
"2018-03-16";"18:11:16";"TV";"A2/10";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:11:58";"TV";"A1/45";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:12:35";"TV";"A1/46";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"18:12:57";"TV";"A1/47";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:15:08";"TV";"A1/48";"04037";"Cannette";"1,000";"5,50";"1,33";"1,33";"0,07";"1,40"
"2018-03-16";"18:15:08";"TV";"A1/48";"05012";"Petite Quiche";"1,000";"10,00";"1,82";"1,82";"0,18";"2,00"
"2018-03-16";"18:16:07";"TV";"A1/49";"01006";"Festive";"2,000";"5,50";"1,04";"2,09";"0,11";"2,20"
"2018-03-16";"18:22:04";"TV";"A1/50";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"18:22:04";"TV";"A1/50";"03028";"#Divers Pâtisserie";"1,000";"5,50";"4,45";"4,45";"0,25";"4,70"
"2018-03-16";"18:25:05";"TV";"A1/51";"01007";"Baguette Fantaisie";"1,000";"5,50";"1,00";"1,00";"0,05";"1,05"
"2018-03-16";"18:25:05";"TV";"A1/51";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:25:05";"TV";"A1/51";"11009";"Tarte 10€";"1,000";"5,50";"9,48";"9,48";"0,52";"10,00"
"2018-03-16";"18:27:14";"TV";"A1/52";"03051";"Peche";"1,000";"5,50";"2,09";"2,09";"0,11";"2,20"
"2018-03-16";"18:27:14";"TV";"A1/52";"03006";"Croustade";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"18:27:14";"TV";"A1/52";"01034";"Lot  Chouquette";"1,000";"5,50";"2,18";"2,18";"0,12";"2,30"
"2018-03-16";"18:28:24";"TV";"A1/53";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"18:29:07";"TV";"A1/54";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:29:07";"TV";"A1/54";"03040";"Eclair";"1,000";"5,50";"1,90";"1,90";"0,10";"2,00"
"2018-03-16";"18:29:07";"TV";"A1/54";"03006";"Croustade";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"18:29:33";"TV";"A1/55";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:30:46";"TV";"A1/56";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:31:48";"TV";"A1/57";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:32:40";"TV";"A1/58";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"18:33:23";"TV";"A1/59";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:33:36";"TV";"A2/11";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:35:09";"TV";"A2/12";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:36:00";"TV";"A2/13";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:36:44";"TV";"A2/14";"01042";"Sarmantine";"2,000";"5,50";"0,90";"1,80";"0,10";"1,90"
"2018-03-16";"18:36:44";"TV";"A2/14";"03006";"Croustade";"2,000";"5,50";"1,85";"3,70";"0,20";"3,90"
"2018-03-16";"18:37:31";"TV";"A2/15";"05012";"Petite Quiche";"1,000";"10,00";"1,82";"1,82";"0,18";"2,00"
"2018-03-16";"18:40:07";"TV";"A2/16";"01044";"1,50";"1,000";"5,50";"1,42";"1,42";"0,08";"1,50"
"2018-03-16";"18:40:07";"TV";"A2/16";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:40:18";"TV";"A2/17";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:41:28";"TV";"A2/18";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:41:28";"TV";"A2/18";"02007";"Palmier";"1,000";"5,50";"1,42";"1,42";"0,08";"1,50"
"2018-03-16";"18:41:53";"TV";"A2/19";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:42:20";"TV";"A2/20";"01042";"Sarmantine";"2,000";"5,50";"0,90";"1,80";"0,10";"1,90"
"2018-03-16";"18:42:54";"TV";"A2/21";"01050";"Baguette Longue";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:43:36";"TV";"A2/22";"01051";"Baguette Torchon";"3,000";"5,50";"1,09";"3,27";"0,18";"3,45"
"2018-03-16";"18:43:51";"TV";"A1/60";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:43:51";"TV";"A1/60";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"18:46:12";"TV";"A2/23";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"18:47:54";"TV";"A1/61";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"18:47:54";"TV";"A1/61";"01008";"Bebe/Ficel/Dejeun";"1,000";"5,50";"0,52";"0,52";"0,03";"0,55"
"2018-03-16";"18:48:39";"TV";"A1/62";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:49:34";"TV";"A1/63";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"18:52:00";"TV";"A1/64";"01019";"Baguette FM";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"18:54:49";"TV";"A1/65";"03001";"Amandine";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"18:54:49";"TV";"A1/65";"03035";"Tartelette Citron";"1,000";"5,50";"2,09";"2,09";"0,11";"2,20"
"2018-03-16";"18:54:49";"TV";"A1/65";"03004";"Flan Nature";"1,000";"5,50";"1,75";"1,75";"0,10";"1,85"
"2018-03-16";"18:54:49";"TV";"A1/65";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"18:56:35";"TV";"A1/66";"01051";"Baguette Torchon";"5,000";"5,50";"1,09";"5,45";"0,30";"5,75"
"2018-03-16";"18:58:16";"TV";"A1/67";"03040";"Eclair";"4,000";"5,50";"1,90";"7,58";"0,42";"8,00"
"2018-03-16";"18:59:13";"TV";"A1/68";"01019";"Baguette FM";"4,000";"5,50";"0,85";"3,41";"0,19";"3,60"
"2018-03-16";"19:00:32";"TV";"A1/69";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"19:06:36";"TV";"A1/70";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"19:07:12";"TV";"A1/71";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"19:09:47";"TV";"A1/72";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"19:16:05";"TV";"A2/24";"09008";"#Divers Chocolat";"1,000";"20,00";"0,00";"0,00";"0,00";"0,00"
"2018-03-16";"19:16:05";"TV";"A2/24";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"19:16:51";"TV";"A2/25";"04041";"Bière";"2,000";"5,50";"1,85";"3,70";"0,20";"3,90"
"2018-03-16";"19:18:26";"TV";"A1/73";"03040";"Eclair";"2,000";"5,50";"1,90";"3,79";"0,21";"4,00"
"2018-03-16";"19:18:26";"TV";"A1/73";"03004";"Flan Nature";"1,000";"5,50";"1,75";"1,75";"0,10";"1,85"
"2018-03-16";"19:18:26";"TV";"A1/73";"03031";"Tartelette Grand-Mere";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"19:18:26";"TV";"A1/73";"03060";"Millefeuille";"1,000";"5,50";"1,99";"1,99";"0,11";"2,10"
"2018-03-16";"19:18:26";"TV";"A1/73";"03034";"Tartelette Fraise ou Framboise";"2,000";"5,50";"2,65";"5,31";"0,29";"5,60"
"2018-03-16";"19:18:26";"TV";"A1/73";"03035";"Tartelette Citron";"1,000";"5,50";"2,09";"2,09";"0,11";"2,20"
"2018-03-16";"19:18:26";"TV";"A1/73";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"19:19:55";"TV";"A2/26";"01043";"#Divers Boulangerie";"1,000";"20,00";"540,55";"540,55";"108,11";"648,66"
"2018-03-16";"19:20:02";"TV";"A1/74";"03034";"Tartelette Fraise ou Framboise";"1,000";"5,50";"2,65";"2,65";"0,15";"2,80"
"2018-03-16";"19:20:02";"TV";"A1/74";"03041";"Religieuse";"1,000";"5,50";"1,99";"1,99";"0,11";"2,10"
"2018-03-16";"19:20:35";"TV";"A1/75";"01001";"Baguette Ordinaire";"1,000";"5,50";"0,81";"0,81";"0,04";"0,85"
"2018-03-16";"19:21:14";"TV";"A2/28";"02001";"#Divers Viennois";"1,000";"5,50";"426,87";"426,87";"23,48";"450,35"
"2018-03-16";"19:21:32";"TV";"A2/29";"03028";"#Divers Pâtisserie";"1,000";"5,50";"413,70";"413,70";"22,75";"436,45"
"2018-03-16";"19:22:07";"TV";"A1/76";"01050";"Baguette Longue";"1,000";"5,50";"0,85";"0,85";"0,05";"0,90"
"2018-03-16";"19:22:07";"TV";"A1/76";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"19:22:30";"TV";"A2/30";"04048";"#Divers Boisson";"1,000";"5,50";"76,49";"76,49";"4,21";"80,70"
"2018-03-16";"19:22:55";"TV";"A2/31";"05026";"#Divers Salé";"1,000";"10,00";"459,09";"459,09";"45,91";"505,00"
"2018-03-16";"19:24:03";"TV";"A1/77";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"19:24:03";"TV";"A1/77";"11006";"Entremet 12€";"1,000";"5,50";"11,37";"11,37";"0,63";"12,00"
"2018-03-16";"19:24:11";"TV";"A2/32";"09008";"#Divers Chocolat";"1,000";"20,00";"6,17";"6,17";"1,23";"7,40"
"2018-03-16";"19:25:02";"TV";"A2/33";"01043";"#Divers Boulangerie";"1,000";"20,00";"46,37";"46,37";"9,28";"55,65"
"2018-03-16";"19:25:05";"TV";"A1/78";"01042";"Sarmantine";"2,000";"5,50";"0,90";"1,80";"0,10";"1,90"
"2018-03-16";"19:26:02";"TV";"A1/79";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:26:34";"TV";"A1/80";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:28:05";"TV";"A1/81";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"19:28:05";"TV";"A1/81";"03041";"Religieuse";"1,000";"5,50";"1,99";"1,99";"0,11";"2,10"
"2018-03-16";"19:28:28";"TV";"A2/34";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"19:28:59";"TV";"A1/82";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:33:51";"TV";"A2/35";"12009";"Malabar";"2,000";"20,00";"0,12";"0,25";"0,05";"0,30"
"2018-03-16";"19:33:51";"TV";"A2/35";"01051";"Baguette Torchon";"2,000";"5,50";"1,09";"2,18";"0,12";"2,30"
"2018-03-16";"19:35:13";"TV";"A1/83";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:35:13";"TV";"A1/83";"01051";"Baguette Torchon";"1,000";"5,50";"1,09";"1,09";"0,06";"1,15"
"2018-03-16";"19:36:55";"TV";"A1/84";"02019";"Le 100%";"1,000";"5,50";"5,21";"5,21";"0,29";"5,50"
"2018-03-16";"19:36:55";"TV";"A1/84";"01034";"Lot  Chouquette";"1,000";"5,50";"2,18";"2,18";"0,12";"2,30"
"2018-03-16";"19:36:55";"TV";"A1/84";"01052";"Baguette Mais";"1,000";"5,50";"1,42";"1,42";"0,08";"1,50"
"2018-03-16";"19:37:47";"TV";"A1/85";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:38:15";"TV";"A1/86";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:38:36";"TV";"A1/87";"07002";"Chips";"2,000";"20,00";"2,00";"4,00";"0,80";"4,80"
"2018-03-16";"19:39:31";"TV";"A1/88";"06023";"Buzet Rouge";"1,000";"20,00";"5,50";"5,50";"1,10";"6,60"
"2018-03-16";"19:39:31";"TV";"A1/88";"01015";"Pain FM";"2,000";"5,50";"1,14";"2,27";"0,13";"2,40"
