"Code";"Code barres";"Désignation";"Désignation 2";"Famille";"Image";"Désactiver";"Nº unités";"Unités";"Dern.prix achat";"Prix 1";"Prix 2";"Prix 3";"Prix 4";"Remise";"Nº TVA";"TVA";"Nº TVA achat";"TVA achat";"Stock minimum";"Stock";"Dt.entrée";"Dt.sortie";"Dt.modification";"Flg Obs.unica";"Flg.preço";"Flg.qtd";"Section 1";"Section 2";"Nº ingrédients";"Nº exemption";"Nº étiquette";"Qté.étiquettes";"Nº balance";"Nº emballage";"Tare fix";"Pourc.givrage";"Poids unitaire";"Code lot";"Durée 1";"Durée 2";"Qté.unité";"Qté.base";"Unit.base";"Qté.minimum";"Qté.maximum";"Qté.défaut";"Btn.font";"Btn.palette";"Btn.couleur";"Nº nutriments";"Flg.assoc.totaliser";"Flg.menu.totaliser"
"01023";"";"Croissant Ordinaire";"";"02";"";"0";"2";"un";"0,00";"0,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-565,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01024";"";"Croissant Beurre";"";"02";"";"0";"2";"un";"0,00";"0,95";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-879,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01025";"";"Brioche Nature";"";"02";"";"0";"2";"un";"0,00";"0,95";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-189,00";"0000-00-00";"2018-04-04";"2018-03-18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01026";"";"";"";"01";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01027";"";"";"";"01";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01028";"";"Beignet  Nutella";"";"02";"";"0";"2";"un";"0,00";"1,75";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-107,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01029";"";"Mini";"";"02";"";"0";"2";"un";"0,00";"0,45";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-230,00";"0000-00-00";"2018-04-02";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01030";"";"Maxi choco";"";"02";"";"0";"2";"un";"0,00";"1,55";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-56,00";"0000-00-00";"2018-03-31";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01031";"";"Crêpe";"";"02";"";"0";"2";"un";"0,00";"0,80";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-102,00";"0000-00-00";"2018-03-28";"2018-03-17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01032";"";"";"";"01";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"2018-03-15";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01033";"";"Mini Cannel>Beignet choco";"";"02";"";"0";"2";"un";"0,00";"0,65";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-196,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01034";"";"Lot  Chouquette";"";"02";"";"0";"2";"un";"0,00";"2,30";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-113,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01035";"";"Lot 10 minis";"";"02";"";"0";"2";"un";"0,00";"4,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-137,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01036";"";"Mouna";"";"02";"";"0";"2";"un";"0,00";"7,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-53,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01037";"";"Cake Citron ou Chocolat";"";"02";"";"0";"2";"un";"0,00";"7,50";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-19,00";"0000-00-00";"2018-04-02";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01038";"";"Oreillettes";"";"02";"";"0";"2";"un";"0,00";"2,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-49,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01039";"";"";"";"02";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01040";"";"Brioche Parisienne";"";"02";"";"0";"2";"un";"0,00";"5,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-11,00";"0000-00-00";"2018-04-01";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01041";"";"";"";"01";"";"0";"2";"un";"0,00";"1,15";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01042";"";"Sarmantine";"";"01";"";"0";"2";"un";"0,00";"0,95";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-565,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01043";"";"#Divers Boulangerie";"";"01";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1";"20,00";"0";"0,00";"0,00";"-82,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
